ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
305,simple,1567043917-150,"Americorn Unisex Tank",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,19.99,22.95,"Cats, Uncategoried, Unicorn",,,https://wentees.com/wp-content/uploads/2019/08/regular-59.jpg,,,,,,,,,0
329,simple,1567052723-296,"Hail Satan Classic T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15.99,18.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-60.jpg,,,,,,,,,0
330,simple,1567052811-330,"Hail Satan Youth T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15.99,18.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-61.jpg,,,,,,,,,0
331,simple,1567052780-319,"Hail Satan Baseball Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,35.95,41.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-62.jpg,,,,,,,,,0
332,simple,1567052828-348,"Stay Pawsitive Premium Fit Mens Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-63.jpg,,,,,,,,,0
333,simple,1567052741-304,"Hail Satan Premium Fit Mens Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-64.jpg,,,,,,,,,0
334,simple,1567052787-321,"Hail Satan Long Sleeve Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-65.jpg,,,,,,,,,0
335,simple,1567052709-286,"Stay Pawsitive Sleeveless Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-66.jpg,,,,,,,,,0
336,simple,1567052711-288,"Stay Pawsitive Unisex Tank",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,19.99,22.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-67.jpg,,,,,,,,,0
350,simple,1567052794-325,"Hail Satan Sleeveless Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-68.jpg,,,,,,,,,0
351,simple,1567052713-292,"Stay Pawsitive Long Sleeve Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-69.jpg,,,,,,,,,0
352,simple,1567052696-255,"Stay Pawsitive Ladies Flowy Tank",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,17.99,20.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-70.jpg,,,,,,,,,0
353,simple,1567052771-316,"Hail Satan Ladies T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15.99,18.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-71.jpg,,,,,,,,,0
366,simple,1567052831-351,"Hail Satan Crewneck Sweatshirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,34.99,40.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-72.jpg,,,,,,,,,0
367,simple,1567052816-336,"Laptop Cat 123 Classic T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,22.95,26.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-73.jpg,,,,,,,,,0
372,simple,1567052749-306,"Hail Satan Ladies Flowy Tank",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,17.99,20.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-74.jpg,,,,,,,,,0
373,simple,1567052693-248,"Stay Pawsitive Classic T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15.99,18.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-75.jpg,,,,,,,,,0
378,simple,1567052624-211,"Stay Pawsitive Premium Fit Ladies Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-78.jpg,,,,,,,,,0
383,simple,1567052705-277,"Stay Pawsitive Premium Fit Mens Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-83.jpg,,,,,,,,,0
384,simple,1567052639-217,"Stay Pawsitive V-Neck T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,19.99,22.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-84.jpg,,,,,,,,,0
385,simple,1567052674-231,"Stay Pawsitive Long Sleeve Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-85.jpg,,,,,,,,,0
386,simple,1567052660-227,"Stay Pawsitive Sleeveless Tee",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,24.99,28.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-66.jpg,,,,,,,,,0
399,simple,1567052608-204,"Stay Pawsitive Classic T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15.99,18.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-75.jpg,,,,,,,,,0
411,simple,1567052667-229,"Stay Pawsitive Unisex Tank",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,19.99,22.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-67.jpg,,,,,,,,,0
412,simple,1567052646-219,"Stay Pawsitive Ladies T-Shirt",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15.99,18.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-95.jpg,,,,,,,,,0
413,simple,1567052617-207,"Stay Pawsitive Ladies Flowy Tank",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,17.99,20.95,"Cats, Uncategoried",,,https://wentees.com/wp-content/uploads/2019/08/regular-70.jpg,,,,,,,,,0
